Czas;Plec;Wiek;Wsparcie;SE;Przekonania_kulturowe;Przekonania_ekonomiczne;Fundamentalizm_religijny;Ksenofobia;Akceptacja_kapitalizmu;Antyinterwencjonizm;GSES_1;GSES_2;GSES_3;GSES_4;GSES_5;GSES_6;GSES_7;GSES_8;GSES_9;GSES_10;KPP_1;KPP_2;KPP_3;KPP_4;KPP_5;KPP_6;KPP_6_ODW;KPP_7;KPP_8;KPP_8_ODW;KPP_9;KPP_10;KPP_11;KPP_11_ODW;KPP_12;KPP_12_ODW;KPP_13;KPP_14;KPP_14_ODW;KPP_15;KPP_16;KPP_16_ODW;KPP_17;KPP_17_ODW;KPP_18;KPP_19;KPP_19_ODW
2020/07/09 9:27:02 PM CET;1;28;0;28;1,5;3,9;1;2;3,67;4,14;2;3;3;3;3;2;3;3;3;3;1;4;1;4;1;1;5;1;2;4;1;3;5;1;2;4;1;2;4;4;1;5;4;2;1;1;5
2020/07/10 3:57:46 PM CET;0;28;0;30;2,75;2,4;2,17;3,33;2,67;2,14;3;3;3;3;3;3;3;3;3;3;2;3;3;1;1;2;4;3;4;2;2;4;3;3;3;3;2;5;1;4;5;1;4;2;3;4;2
2020/07/10 7:24:42 PM CET;1;71;1;28;1,58;3,76;1,83;1,33;3,67;3,86;3;2;3;3;2;3;3;3;3;3;1;3;4;4;2;1;5;2;2;4;2;4;5;1;3;3;1;2;4;1;2;4;3;3;1;2;4
2020/07/11 10:44:23 AM CET;0;18;1;37;4,92;1,93;4,83;5;2;1,86;4;4;3;4;3;4;4;4;3;4;5;3;5;1;4;5;1;5;4;2;5;2;1;5;4;2;5;5;1;5;4;2;4;2;5;3;3
2020/07/11 1:02:09 PM CET;0;19;1;28;3;2,02;1,67;4,33;2,33;1,71;3;3;4;3;2;3;2;2;3;3;1;3;3;2;1;4;2;5;4;2;2;2;4;2;5;1;1;4;2;4;5;1;4;2;4;4;2
2020/07/11 1:41:39 PM CET;1;30;1;37;1,08;3,14;1,17;1;3;3,29;2;4;3;4;4;4;4;4;4;4;1;3;2;4;1;1;5;1;4;2;1;2;5;1;5;1;1;1;5;1;5;1;2;4;1;1;5
2020/07/11 4:31:47 PM CET;0;60;1;34;1,08;2,6;1,17;1;2,33;2,86;3;3;4;3;3;4;3;3;4;4;1;2;2;3;1;1;5;1;2;4;1;2;5;1;4;2;1;4;2;1;4;2;4;2;1;3;3
2020/07/11 4:49:03 PM CET;0;40;0;37;1;1,43;1;1;1;1,86;3;4;3;4;3;4;4;4;4;4;1;1;1;1;1;3;3;1;3;3;1;1;5;1;5;1;1;5;1;1;3;3;5;1;1;5;1
2020/07/11 6:20:07 PM CET;0;24;0;26;2,42;2,86;1,5;3,33;3;2,71;3;3;2;3;3;3;2;1;3;3;1;4;1;2;1;4;2;2;4;2;1;3;2;4;4;2;1;5;1;4;2;4;1;5;4;3;3
2020/07/11 8:30:32 PM CET;0;54;0;35;3,67;1,86;3,67;3,67;1;2,71;4;3;4;4;3;3;4;4;3;3;3;1;3;1;3;3;3;3;5;1;5;1;1;5;1;5;3;5;1;5;5;1;3;3;3;1;5
